113071,,,"Transportation, storage, and distribution managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",8.3,98230,HS
113111,Z023,9/8/2021,Compensation and benefits managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",4,127530,B
113121,Z025,9/8/2021,Human resources managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",9.2,126230,B
113131,Z024,9/8/2021,Training and development managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",10.7,120130,B
119013,Z027,10/22/2021,"Farmers, ranchers, and other agricultural managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",-0.7,73060,HS
119021,Z028,9/8/2021,Construction managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",11.5,98890,B
119031,Z029,9/8/2021,"Education and childcare administrators, preschool and daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",11.4,47310,B
119032,Z030,9/8/2021,"Education administrators, kindergarten through secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",7.8,98420,M
119033,Z031,9/8/2021,"Education administrators, postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",7.5,96910,B
119039,,,"Education administrators, all other",All education administrators not listed separately.,12.6,90560,HS
119041,Z032,9/8/2021,Architectural and engineering managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",4.1,152350,B
119051,Z033,10/22/2021,Food service managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",14.9,59440,HS
119071,Z228,9/8/2021,Gambling managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",20.1,76910,HS
119081,Z034,9/8/2021,Lodging managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",8.7,59430,B
119111,Z035,9/8/2021,Medical and health services managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",32.5,101340,B
119121,Z036,9/8/2021,Natural sciences managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",5.8,137900,B
119131,,,Postmasters and mail superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",-7.7,80250,HS
119141,Z037,9/8/2021,"Property, real estate, and community association managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",3.1,59230,HS
119151,Z038,9/8/2021,Social and community service managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",15.2,74000,B
119161,Z040,9/13/2021,Emergency management directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",6.2,76730,B
119171,Z001,10/21/2021,Funeral home managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",3.2,74000,A
119198,,,"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",,7.4,,HS
131011,,,"Agents and business managers of artists, performers, and athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",46.3,78410,HS
131020,Z324,9/8/2021,Buyers and purchasing agents,,-5.4,63470,B
131031,Z042,9/8/2021,"Claims adjusters, examiners, and investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,-2.7,65080,B
131032,Z042,9/8/2021,"Insurance appraisers, auto damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,0.6,62680,B
131041,,,Compliance officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",6.2,71650,HS
131051,Z043,9/8/2021,Cost estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",0.6,65170,B
131071,Z041,9/8/2021,Human resources specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",10.4,62290,B
131074,,,Farm labor contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",10.6,47770,HS
131075,Z394,9/8/2021,Labor relations specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",-4.3,77010,B
131081,Z329,9/8/2021,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",29.5,77030,B
131111,Z045,9/8/2021,Management analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",13.7,93000,B
131121,Z046,9/8/2021,"Meeting, convention, and event planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",17.5,49470,B
131131,Z393,9/8/2021,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",15.9,60660,B
131141,Z050,9/8/2021,"Compensation, benefits, and job analysis specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",9.6,64120,B
131151,Z091,9/8/2021,Training and development specialists,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,10.8,61570,B
131161,Z103,9/8/2021,Market research analysts and marketing specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",22.1,63920,B
131198,,,"Project management specialists and business operations specialists, all other",,5.6,,HS
132011,Z047,9/8/2021,Accountants and auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",6.9,77250,B
132020,Z048,9/8/2021,Property appraisers and assessors,,4.4,61340,B
132031,Z049,9/8/2021,Budget analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",4.8,79940,B
132041,,,Credit analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,-5.8,77440,HS
132052,Z052,9/8/2021,Personal financial advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",4.6,94170,B
132053,Z002,9/8/2021,Insurance underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,-1.8,76390,B
132061,Z053,9/8/2021,Financial examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",17.9,81410,B
132071,,,Credit counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",9,47580,HS
132072,Z054,9/8/2021,Loan officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",1.3,63380,B
132081,Z055,9/8/2021,"Tax examiners and collectors, and revenue agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,-3.7,56780,B
132082,,,Tax preparers,Prepare tax returns for individuals or small businesses.,1.6,46290,HS
132098,Z051,9/8/2021,"Financial and investment analysts, financial risk specialists, and financial specialists, all other",,6.4,81410,B
151211,Z059,9/8/2021,Computer systems analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",7,99270,B
151212,Z062,9/8/2021,Information security analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",33.3,102600,B
151221,Z003,9/8/2021,Computer and information research scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",21.9,131490,B
151231,Z058,10/20/2021,Computer network support specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",7.5,62760,B
151232,Z058,10/20/2021,Computer user support specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",8.9,49770,B
151241,Z118,9/8/2021,Computer network architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",5.5,120520,B
151244,Z061,9/8/2021,Network and computer systems administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",5.4,80600,B
151245,Z060,9/8/2021,Database administrators and architects,,7.8,,B
151251,Z056,9/8/2021,Computer programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",-9.9,93000,B
151256,Z057,9/8/2021,Software developers and software quality assurance analysts and testers,,22.2,,B
151257,Z092,9/8/2021,Web developers and digital interface designers,,12.8,,B
151299,,,"Computer occupations, all other",All computer occupations not listed separately.,9.2,,HS
152011,Z063,9/8/2021,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",24.5,105900,B
152021,Z004,9/8/2021,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",2.7,108100,B
152031,Z064,9/8/2021,Operations research analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",24.6,82360,B
152041,Z004,9/8/2021,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",35.4,95570,B
152098,,,"Data scientists and mathematical science occupations, all other",,31.4,100480,HS
171011,Z066,9/8/2021,"Architects, except landscape and naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",3.1,80180,B
171012,Z067,9/8/2021,Landscape architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",-0.3,67950,B
171021,Z068,9/8/2021,Cartographers and photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",5.4,68900,B
171022,Z069,9/8/2021,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",1.6,61600,B
172011,Z070,9/8/2021,Aerospace engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",8.3,122270,B
172021,Z332,9/8/2021,Agricultural engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",4.5,82640,B
172031,Z071,9/8/2021,Bioengineers and biomedical engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",5.9,97410,B
172041,Z072,9/8/2021,Chemical engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",9.3,105550,B
172051,Z073,9/8/2021,Civil engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",8.2,88050,B
172061,Z074,9/8/2021,Computer hardware engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",1.5,128170,B
172071,Z075,9/8/2021,Electrical engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",6.8,100420,B
172072,Z075,9/8/2021,"Electronics engineers, except computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",6.2,104820,B
172081,Z076,9/8/2021,Environmental engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",3.7,96820,B
172111,Z333,9/8/2021,"Health and safety engineers, except mining safety engineers and inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",6.1,99040,B
172112,Z077,9/8/2021,Industrial engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",13.7,95300,B
172121,Z078,9/8/2021,Marine engineers and naval architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",3.9,93370,B
172131,Z079,9/8/2021,Materials engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",8.4,98300,B
172141,Z080,9/8/2021,Mechanical engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",7,95300,B
172151,Z081,9/8/2021,"Mining and geological engineers, including mining safety engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",3.9,97090,B
172161,Z082,9/8/2021,Nuclear engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",-8.4,120380,B
172171,Z083,9/8/2021,Petroleum engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,7.6,130850,B
172199,,,"Engineers, all other",All engineers not listed separately.,2.7,100640,HS
173011,Z084,9/8/2021,Architectural and civil drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",-0.9,60340,A
173012,Z084,9/8/2021,Electrical and electronics drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",2.3,61510,A
173013,Z084,9/8/2021,Mechanical drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",-4.7,60200,A
173019,Z084,9/8/2021,"Drafters, all other",All drafters not listed separately.,-5.4,54240,A
173021,Z334,9/8/2021,Aerospace engineering and operations technologists and technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",8.9,73580,HS
173022,Z085,9/8/2021,Civil engineering technologists and technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",1.8,58320,A
173023,Z335,9/10/2021,Electrical and electronic engineering technologists and technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",1.6,63640,A
173024,Z336,9/9/2021,Electro-mechanical and mechatronics technologists and technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",-1.7,60360,A
173025,Z086,9/8/2021,Environmental engineering technologists and technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.",7.8,48390,A
173026,Z087,9/8/2021,Industrial engineering technologists and technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.",4.4,60220,A
173027,Z088,9/8/2021,Mechanical engineering technologists and technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",5.7,60460,A
173031,Z089,9/8/2021,Surveying and mapping technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",3.7,46910,HS
173098,,,"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",,4.4,61730,HS
191011,Z090,9/8/2021,Animal scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.",9.7,65090,B
191012,Z090,9/8/2021,Food scientists and technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.",6.7,78340,B
191013,Z090,9/8/2021,Soil and plant scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.",10,66750,B
191021,Z093,9/8/2021,Biochemists and biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",4.7,102270,B
191022,Z094,9/13/2021,Microbiologists,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.",4.6,79260,B
191023,Z095,9/13/2021,Zoologists and wildlife biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.",5.2,64650,B
191029,,,"Biological scientists, all other",All biological scientists not listed separately.,3.7,82530,HS
191031,Z337,9/8/2021,Conservation scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",6.1,63750,B
191032,Z337,9/8/2021,Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.",10,64110,B
191041,Z096,9/8/2021,Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.",29.6,78830,M
191042,Z097,9/8/2021,"Medical scientists, except epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.",16.9,95310,P
191099,,,"Life scientists, all other",All life scientists not listed separately.,8.4,81500,HS
192011,Z098,9/8/2021,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.",4.5,128160,B
192012,Z098,9/8/2021,Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",8.8,152430,B
192021,Z005,9/8/2021,Atmospheric and space scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.",8.3,94570,B
192031,Z099,9/8/2021,Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,6.7,79430,B
192032,Z099,9/8/2021,Materials scientists,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists.",3.9,100090,B
192041,Z100,9/13/2021,"Environmental scientists and specialists, including health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.",8.4,76530,B
192042,Z101,9/8/2021,"Geoscientists, except hydrologists and geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.",7,83680,B
192043,Z102,9/8/2021,Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.",5.6,84030,B
192099,,,"Physical scientists, all other",All physical scientists not listed separately.,1,104100,HS
193011,Z006,9/8/2021,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",13.1,105630,B
193022,Z104,9/8/2021,Survey researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",4.3,59740,B
193031,Z105,10/20/2021,"Clinical, counseling, and school psychologists",,10.4,79510,M
