A T Still University of Health Sciences,Kirksville,25,www.atsu.edu/,www.atsu.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21722,15000,15000,,60679,77330,70117,71006,0.7961,0.0721,0.0281,0.0299,0.0018,0.0018,0.0299
Academy College,Bloomington,23,www.academycollege.edu/,https://www.academycollege.edu/wp-content/uploads/20me/03/index-3.html,,,,0,0,0,0,0,0,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8462,0,0,0.0769,0,102,,23573,13021,15276,19841,23352,24219,,,,,,34056,,18451,18451,22332,20489,18610,1,37162,45384,43091,57891,0.6857,0.1087,0.0711,0.0217,0.0048,0.0009,0.0377
Academy Di Capelli -,East Hartford,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,20000,22335,,28885,35359,39908,54998,,,,,,,
Academy Di Capelli-School of Cosmetology,Wallingford,7,www.academydicapelli.com/,www.academydicapelli.com/netPrice/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,,14317,,,,,,8935,8816,10099,,,,16353,,,2455,,,,18249,14948,22704,,0.0345,0.0172,0.8621,0.0172,0,0.0172,0.0172
Academy di Firenze,Jerome,12,www.academydifirenze.com/,www.academydifirenze.com/NetPriceCalculator/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,10025,,,,,,14369,,,,,,15460,,,9500,,,,,,,,0.4464,0.2857,0.1786,0.0357,0,0,0.0357
Academy for Careers and Technology,Mullins,40,www.mcact.org/,www.marion.k12.sc.us/Domain/21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,8034,,,,,,,,,,,,,12327,,,,,,3,,,,,0.75,0.0833,0.0833,0,0,0,0.0833
Academy for Five Element Acupuncture,Gainesville,9,www.acupuncturist.edu/,www.acupuncturist.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0,0,0.2,0,0,0
Academy for Jewish Religion-California,Los Angeles,5,www.ajrca.edu/,www.ajrca.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52709,,,0.7632,0.1053,0.0789,0,0,0,0.0526
Academy for Nursing and Health Occupations,West Palm Beach,9,www.anho.edu/,www.anho.edu/net price calculator/index.html,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,552,,25501,,,,,,25948,,27381,30011,,,31446,,,,,,,,,,,0.6667,0.0606,0.1212,0.1515,0,0,0
Academy for Salon Professionals,Northridge,5,www.academyla.com/,www.academyla.com/our-programs/financial-aid/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,,13383,,,,,,11169,12447,,,,,16554,,,6333,6333,3808,,22285,21942,,,0.4375,0.1801,0.3346,0.011,0,0,0.0221
Academy of Art University,San Francisco,5,www.academyart.edu/,https://npc.collegeboard.org/student/app/academyart,,,,0,0,0.0054,0,0.043,0.1182,0.1871,0,0.0063,0,0.1128,0,0.0895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0.3975,0,0.0331,0,6570,,34145,9607,8410,14461,,,,,,,,41945,,23412,23412,3500,5125,5500,,24344,32314,24987,38696,0.4744,0.4034,0.0483,0.0028,0.0028,0,0.0625
Academy of Career Training,Kissimmee,9,academyofcareertraining.com/,www.academyofcareertraining.com/financial-aid.html,,,,0,0,0,0,0,0,0,0.8868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1132,0,0,34,,7194,,,,,,13468,,,,,,12678,,,,,,,,,,,0.1429,0.3095,0.3571,0,0,0,0
Academy of Careers and Technology,Beckley,48,www.wvact.net/,wvact.net/npcalc/index.html,,,,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0167,0.0417,0.1083,0,0.6167,0,0,115,3623,,,,,,,15386,15140,18072,21080,21347,,11184,,,19725,14920,12000,5,26791,36340,35123,40216,0.6071,0.05,0.0357,0.0036,0.0071,0,0.0214
Academy of Chinese Culture and Health Sciences,Oakland,5,www.acchs.edu/,www.acchs.edu/npcalc.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7685,,,,,,,,,,,,,,,16748,,0,1,0,0,0,0,0
Academy of Cosmetology,merritt Island,9,academyofcosmetology.edu/,https://academyofcosmetology.edu/net-price-calculator,,,,0,0,0,0,0,0,0,0.9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976,0,0,136,,16239,,,,,,14082,,,,,,20968,,,,,,,14949,,20027,,0,0.9259,0.0741,0,0,0,0
Academy of Cosmetology and Esthetics NYC,Staten Island,32,www.theacademynyc.com/,https://paulmitchell.edu/statenisland/programs/cosmetology,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,,17870,,,,,,,,,,,,21469,,,6439,3972,3924,,35505,45990,,,0.3873,0.1378,0.2384,0.1192,0.0056,0,0.013
Academy of Cosmetology Inc,Bozeman,26,www.academycosmetology.com/,www.academycosmetology.com/admissions,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,10323,,,,,,17670,18352,19729,23035,27076,,13609,,,23923,18625,18500,1,36052,42418,40009,51951,0.7831,0.0862,0.0262,0.0231,0.0246,0,0
Academy of Esthetics and Cosmetology,San Fernando,5,www.aecosmetology.com/,www.aecosmetology.com/net-calculator,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,10495,,,,,,15476,16305,18755,21650,21650,,16749,,,9777,9833,9833,,19449,,,,0.6742,0.2308,0.0588,0.009,0,0,0.009
Academy of Hair Design - Austin,Austin,43,www.aohd.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,20000,22335,,,,,,,,,,,,
Academy of Hair Design-Grenada,Grenada,24,www.academyofhair.com/grenada-campus,academyofhair.com/NetPriceCalculator/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,,18174,4402,4907,6546,9084,9164,,,,,,,22755,,,4353,4009,5500,,22227,30846,26665,39373,0.5261,0.3241,0.0294,0.0022,0.0648,0.0022,0.0261
Academy of Hair Design-Jackson,Jackson,24,www.academyofhair.com/,https://academyofhair.com/NetPriceCalculator/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,17095,22212,21401,15714,22919,15714,,,,,,,22755,,,9500,6375,7575,3,,,,,0.7356,0.1034,0.023,0.0115,0.0115,0,0.1034
Academy of Hair Design-Jasper,Jasper,43,lufkinhairdesign.com/,www.lufkinhairdesign.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,,6900,,,,,,15826,17408,19573,22535,22590,,12975,,,12000,12000,12000,,31693,43745,38334,51697,0.5701,0.1075,0.1589,0.0327,0,0,0.0935
Academy of Hair Design-Las Vegas,Las Vegas,28,www.ahdvegas.com/,www.ahdvegas.com/npcalc/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,,16692,10333,11534,13492,16094,16436,,,,,,,20565,,,11755,12235,13990,,33829,40501,37518,48699,0.7812,0.035,0.0954,0.0078,0.012,0,0.0297
Academy of Hair Design-Lufkin,Lufkin,43,lufkinhairdesign.com/,www.lufkinhairdesign.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,6644,9072,9662,11860,14138,14001,,,,,,,12436,,,6792,5500,5500,,22075,33983,24854,47420,0.4964,0.3432,0.0537,0.0134,0.0038,0.0222,0.0402
Academy of Hair Design-Oklahoma City,Oklahoma City,36,www.academyofhairdesignok.com/,www.academyofhairdesignok.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,13654,,,,,,15220,14898,,20993,,,18383,,,7307,7307,5500,,20829,,,,0.1905,0.4563,0.3373,0.0079,0.004,0.004,0
Academy of Hair Design-Pearl,Pearl,24,www.academyofhair.com/,https://academyofhair.com/NetPriceCalculator/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,18334,15751,16045,,,,,,,,,,22935,,,,,,,37075,,33563,,0.3178,0.1008,0.4186,0.155,0.0078,0,0
Academy of Hair Design-Springfield,Springfield,25,aohd.com/,www.aohd.com/springfield/net-price-calculator/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,,17096,,,,,,,,,,,,21003,,,,,,,17478,,,,0.8696,0,0.0435,0.0435,0,0,0.0435
Academy of Hair Technology,Greenville,40,www.hairchamps.com/,www.hairchamps.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,,14888,,,,,,4578,5796,7340,,,,16903,,,,,,3,,,,,0,0,1,0,0,0,0
Academy of Interactive Entertainment-Seattle,Seattle,47,https://www.aie.edu/,https://aie.edu/net-price-calculator/,0.9231,,,0,0,0,0,0,0.3333,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,,28930,8673,9450,11782,13589,14332,,,,,,32546,,21750,21750,9500,9500,8750,1,29263,37653,33792,41235,0.4982,0.36,0.0541,0.0243,0.001,0.0011,0.0414
Academy of Interactive Entertainment-Lafayette,Lafayette,18,www.lafayette.aie.edu/,lafayette.aie.edu/student-information/finaid/,0.8627,,,0,0,0,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,,28264,,,,,,24064,24140,26505,28464,28489,32277,,21750,21750,15000,15000,16029,,41791,46804,43660,58467,0.6302,0.0556,0.1143,0.0492,0.0127,0.0222,0.0698
Academy of Massage and Bodywork,Bear,8,www.massage-academy.com/,www.massage-academy.com/financial-information/,,,,0,0,0,0,0,0,0,0.6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3919,0,0,87,,,,,,,,11456,11586,,,,,,,,,,,,14298,18196,13684,,0,0,0.0291,0.9186,0,0,0
Academy of Natural Therapy Inc,Greeley,6,www.natural-therapy.com/,www.natural-therapy.com/about/gainful_employment.asp,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,,,,,,,,38241,39621,38593,,,,,,,28332,28144,27666,3,,81573,,,0.3254,0.0191,0.1196,0.1866,0,0.0048,0.0957
Academy of Professional Cosmetology,Rogers,4,www.apcschools.com/,apcschools.com/price-calculator/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,3426,,,,,,14563,12522,,,,,11440,,,8475,9833,9833,,,,,,0.7076,0.117,0.117,0.0117,0.0175,0.0058,0.0175
Academy of Salon and Spa,Fort Smith,4,www.academysalonspa.com/,www.academysalonspa.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,,11630,,,,,,,,,,,,16103,,,6822,,,,52389,,67626,,0.75,0.1964,0.0536,0,0,0,0
Academy of Salon Professionals,Sedalia,25,www.academyofsalonprofessionals.com/,www.academyofsalonprofessionals.com/net-price-calculator/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,11588,,,,,,25927,26375,27423,29972,,,16128,,,8942,8443,8477,,26315,33422,29837,37276,0.248,0.1732,0.5079,0.0315,0,0.0059,0.0157
Academy of Vocal Arts,Philadelphia,38,www.avaopera.org/,www.avaopera.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38698,,,1,0,0,0,0,0,0
Acaydia School of Aesthetics,Provo,44,www.acaydia.com/,https://acaydia.edu/html/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,,15544,5385,6805,,,,,,,,,,19008,,,,,,,23221,,,,0.2133,0.0133,0,0,0.6267,0,0.1467
Access Careers,Hempstead,32,www.accesscareers.net/,accesscareers.net/net-price-calculator/,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,0.1282,0.5641,0.2051,0.1026,0,0,0
Access Careers-Islandia,Islandia,32,www.accesscareers.net/,https://accesscareers.net/net-price-calculator/,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,,,,,,,,22674,21314,27977,25645,,,,,,9363,8165,7660,,,,,,0.0672,0.6208,0.256,0.0272,0.0048,0.0032,0.016
Ace Cosmetology and Barber Training Center,Waterbury,7,acetrainingcenters.com/,cetrainingcenters.com/gainful-employment,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,,12419,,,,,,18908,17276,,22788,,,16808,,,10833,14000,13290,,30229,38352,33158,45403,0.5434,0.1309,0.0786,0.0213,0,0.0065,0.0589
Ace Institute of Technology,New York,32,www.acecareer.edu/,www.acecareer.edu/NetPriceCalculator/npcalc.htm,,,,0,0,0,0,0,0,0.4437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5563,0,0,247,,28402,,,,,,26831,24847,26692,,,,33044,,,20000,13625,12000,2,25529,31822,,46599,0.5327,0.4393,0.0187,0.0093,0,0,0
Acupuncture and Integrative medicine College-Berkeley,Berkeley,5,https://www.aimc.edu/,https://www.aimc.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25881,26084,27111,,30194,,,,,9500,8984,5500,,23373,29396,26668,35022,0.0473,0.0694,0.5536,0.0079,0.0032,0.0016,0.0063
Acupuncture and Massage College,Miami,9,www.amcollege.edu/,www.amcollege.edu/?s=net+price,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,,23353,,,,,,6710,12164,11541,8588,,26375,,10873,10873,,,,,20442,34077,22856,,0.9661,0,0,0.0169,0,0,0.0169
Adams State University,Alamosa,6,www.adams.edu/,https://www.adams.edu/netpricecalculator/,0.9909,20,1003,0,0,0,0,0,0,0,0,0.0264,0,0,0,0,0,0.0299,0.4851,0,0.0299,0.0176,0,0,0.0633,0,0,0.0141,0,0.0422,0,0,0.0439,0,0,0,0,0.0387,0.0422,0.167,0,1727,14064,,,,,,,8263,9862,8856,23581,,22426,,9440,20864,,,,3,,28616,,34765,0.9783,0,0,0,0,0,0
Adelphi University,Garden City,32,www.adelphi.edu/,https://financial-aid.adelphi.edu/net-price-calculator/,0.743,24,1161,0,0.0055,0,0,0.0243,0,0.0235,0,0.0227,0,0,0.0031,0,0,0.0211,0.0235,0,0.0626,0.0149,0,0.0149,0.0587,0,0,0.0141,0,0.0603,0.018,0.0321,0.0595,0,0,0,0,0.0446,0.3665,0.1159,0.0141,5275,,28643,,,,,,14088,,,,,50628,,40300,40300,6333,,,,18364,,,,0.1233,0.0137,0.7123,0.0137,0.0137,0,0.0548
Adler Graduate School,Minnetonka,23,www.alfredadler.edu/,www.alfredadler.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21954,26312,,,,,,,,9500,5500,5500,,,21487,23769,,0.6563,0.0688,0.2438,0,0,0,0.0313
Adler University,Chicago,13,www.adler.edu/,www.adler.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12799,,,,,,,,,8750,,,,17820,,20038,,0.8478,0,0.087,0.0217,0.0217,0,0.0217
Adrian College,Adrian,22,www.adrian.edu/,adrian.edu/admissions/financial-aid/financial-aid-calculator/,0.5593,22,1046,0,0.0178,0,0.003,0.0504,0,0,0,0.0623,0,0,0.003,0,0,0.0119,0,0,0.089,0.0119,0,0,0.1662,0,0,0.0415,0,0.0208,0.0504,0.0623,0.0297,0,0,0,0,0.0979,0.0386,0.2344,0.0089,1727,,26101,,,,,,2498,2223,7134,14653,40664,53128,,37809,37809,6063,9200,13500,1,49917,74294,66496,87090,0.4896,0.0695,0.1341,0.1238,0.001,0.0005,0.0597
Adrian's College of Beauty Turlock,Turlock,5,www.adrians.edu/,www.adrians.edu/consumer-disclosures/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,16080,4515,6030,10125,13882,13049,,,,,,,20603,,,11410,13191,12500,1,32428,33747,48346,41882,0.6895,0.0299,0.1795,0.0342,0,0,0.0385
Adult and Community Education-Hudson,Columbus,35,https://www.ccsoh.us/site/Default.aspx?PageID=334,https://www.ccsoh.us/Page/6287,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93,12984,,,,,,,14634,,,20982,20982,,19934,,,21500,15500,15250,1,51724,,56587,,0.8076,0.1283,0.0117,0.0146,0,0,0.0262
Adult and Continuing Education-BCTS,Hackensack,30,bcts.bergen.org/index.php/adult-ed-main-page,bcts.bergen.org/images/Adult_Ed/Docs/npcalc.htm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6136,0.3182,0,0,0,0,0.0682,0,92,14681,,,,,,,11038,12604,16665,23157,26701,,17389,,,17750,19500,21500,1,41895,44478,48180,58570,0.3169,0.1534,0.3081,0.0344,0.0006,0.0006,0.0077
Advance Beauty College,Garden Grove,5,www.advancebeautycollege.com/,www.advancebeautycollege.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,,,,,,,,26649,27099,27714,32399,32399,,,,,10535,10582,6568,,27556,51245,27092,39555,0.2109,0.0412,0.542,0.1351,0.0033,0.0148,0.0362
Advance Beauty Techs Academy,San Jacinto,5,www.abt.edu/,https://abt.edu/net-calculator/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,,16429,,,,,,24810,24888,26252,25044,28540,,22255,,,9500,10390,10332,,71924,,,,0.0392,0.1634,0.2876,0.3072,0,0.0327,0.0261
Advance Science International College,Miami Lakes,9,www.asicollege.edu/,www.asicollege.edu/,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,,27429,,,,,,16780,16234,,,,,31298,,,8028,8028,8027,,22709,23427,23947,26288,0.3099,0.4085,0.0141,0.0282,0,0,0.0563
Advanced Barber College and Hair Design,Weslaco,43,abcrgv.com/,abcrgv.com/,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,,12606,,,,,,,,,,,,17022,,,25000,24250,21566,,61217,58756,66780,66887,0.5668,0.0178,0.1395,0.1454,0.003,0.0059,0.0801
Advanced Beauty College,Irving,43,www.advancedbeautycollege.net/,www.advancedbeautycollege.net/net-price-calculator,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,6392,,,,,,9404,9033,9424,,,,9390,,,,,,,14670,,,,0.8167,0.0667,0.0667,0,0,0,0.05
Advanced Career Institute,Visalia,5,https://advanced.edu/,https://advanced.edu/student-disclosures-and-consumer-information/,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1313,0.8687,0,0,0,0,637,,15979,,,,,,12859,,,,,,19394,,,6333,,,,,,,,0.4286,0,0.3673,0.0408,0,0.0408,0.102
Advanced College,South Gate,5,www.advancedcollege.edu/,www.advancedcollege.edu/index.php?option=com_content&view=article&id=53&Itemid=203,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9821,0.0179,0,25,,24107,,,,,,8828,9305,13670,13972,13972,,28519,,,6861,,,,17292,,19192,,0.7636,0.0636,0.1,0,0.0455,0,0.0273
Advanced College - Salida,Salida,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,20000,22335,,28885,35359,39908,54998,,,,,,,
